Código;classificacao_marketplace;canal_ml;canal_shopee;tipo_envio_ml_sugerido;produtoPersonalizado;necessitaMontagem
PAI-G00002	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
1254861;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00003	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
60	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00004	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
101461	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00005	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
323497	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
249904	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
394840	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
249912	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
323500	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
249858	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
249920	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00006	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
180422	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
180412	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
180414	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
180420	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
180426	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00007	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
429020	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00008	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
391700	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00009	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
11652	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
11653	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00010	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
86380	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00011	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
28339	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
28347	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
352012	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00012	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
16101	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00013	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
369616	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00014	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
442430	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
442440	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
442500	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00015	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
161131	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
16125	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
16130	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00016	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
369756	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
369780	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
369799	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
369810	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
369829	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00017	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
115	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
PAI-G00018	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
438480	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
438490	;VALIDO_AMBOS;SIM;SIM;ML_CORREIOS;Não;Não
