ID,Código,Descrição,classificacao_marketplace,canal_ml,canal_shopee,tipo_envio_ml_sugerido,necessitaMontagem,produtoPersonalizado
16646343495,PAI-G00002,ABAFADOR DE RUIDOS DYSTRAY,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646432659,1221312,Modelo:17DB,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323029,PAI-G00003,ABRACAD RSF GAS INCA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646323123,60,Medida:1/2X3/4,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646319883,PAI-G00004,ABRACADEIRA IMPACTO ESTRELA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646319938,101461,Medida:3/4;Cor:Marrom,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331560,PAI-G00005,ABRACADEIRA NYLON BRASFORT,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331629,323497,"Medida:150X2,5;Cor:Preto",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331634,249904,"Medida:150X3,6;Cor:PRETO",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646334169,394840,"Medida:200x2,5;Cor:Amarela",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331641,249912,"Medida:200X3,6;Cor:PRETO",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331643,323500,"Medida:200X4,8;Cor:PRETO",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331621,249858,"Medida:300X3,6;Cor:Branco",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646331646,249920,"Medida:300X4,8;Cor:PRETO",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646324424,PAI-G00006,ABRACADEIRA NYLON EDA,VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646324477,180422,"Cor:PRETO;Medida:4,8X400",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646324474,180412,"Medida:3,6X250;Cor:PRETA",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646324472,180414,"Medida:3,6X300;Cor:PRETA",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646324473,180420,"Medida:4,8X300;Cor:PRETA",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
16646324475,180426,"Medida:7,6X400;Cor:PRETA",VALIDO_AMBOS,SIM,SIM,ML_CORREIOS,Não,Não
