Codigo Produto,Descrição,Valor_unitário,Código de Barras,Sku,Fornecedor,Data Emissão,NCM,Marca,Peso,Url Imagem,Largura,Altura,Comprimento,Categoria,GTIN_Válido,Preço Final,Taxas,Lucro,Tipo Taxa,Url_Imagem1.0,Url_Imagem2.0,Url_Imagem3.0,Url Cloudinary
186124,FITA DUREX TRANSP 12X50 3M,3.544,00000078930469,00000078930469,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-07-08 07:47:00,39191010,3M,0.032,https://cdn.construja.com.br/produtos/186124/186124.jpg,10.0,1.3,10.0,FITAS ADESIVAS,True,9.87,5.97,0.35,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692307/imagens_otimizadas_marketplace/img_temp.jpg"
170124,"BROCA VIDEA SDS PLUS 10,0X160 IRWIN",13.282,00042526940767,00042526940767,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-04-15 07:12:00,82075011,IRWIN,0.07,https://cdn.construja.com.br/produtos/170124/170124.jpg,1.5,1.5,1.5,BROCAS,True,23.26,8.65,1.33,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692303/imagens_otimizadas_marketplace/img_temp.jpg"
188335,RATOEIRA GAIOLA C/MOLA PEQUENA* CHACONFER,19.115,0040141762252,0040141762252,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2024-10-01 05:36:00,73262000,CHACONFER,0.768,https://cdn.construja.com.br/produtos/188335/188335.jpg,15.0,12.0,15.0,DIVERSOS-UD,True,31.28,10.26,1.91,R$ 4.00 fixo,,,,
188334,RATOEIRA GAIOLA C/MOLA MEDIA CHACONFER,23.95,0040141762269,0040141762269,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-03-06 06:51:00,73262000,CHACONFER,0.632,https://cdn.construja.com.br/produtos/188334/188334.jpg,15.0,12.0,15.0,DIVERSOS-UD,True,37.93,11.59,2.4,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692304/imagens_otimizadas_marketplace/img_temp.jpg"
188333,RATOEIRA GAIOLA C/MOLA GRANDE CHACONFER,28.99,0040141762276,0040141762276,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-03-06 06:51:00,73262000,CHACONFER,0.685,https://cdn.construja.com.br/produtos/188333/188333.jpg,16.0,15.0,16.0,DIVERSOS-UD,True,44.86,12.97,2.9,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692304/imagens_otimizadas_marketplace/img_temp.jpg"
188326,AGULHA GRANDE P/ FOGAO C/50 CHACONFER,7.049,0040141762313,0040141762313,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-02-04 06:35:00,73199000,CHACONFER,0.076,https://cdn.construja.com.br/produtos/188326/188326.jpg,9.0,2.0,9.0,DIVERSOS-UD,True,14.69,6.94,0.7,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692307/imagens_otimizadas_marketplace/img_temp.jpg"
156168,DISCO FLAP CONICO 115X040 STARRETT,6.671,0049659014099,0049659014099,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2021-05-21 05:00:00,68053090,STARRETT,0.063,https://cdn.construja.com.br/produtos/156168/156168.jpg,11.5,1.0,11.5,ABRASIVOS,True,14.17,6.83,0.67,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692306/imagens_otimizadas_marketplace/img_temp.jpg"
156171,DISCO FLAP CONICO 115X080 STARRETT,6.253,0049659014129,0049659014129,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2024-12-12 06:23:00,68053090,STARRETT,0.052,https://cdn.construja.com.br/produtos/156171/156171.jpg,11.5,1.0,11.5,ABRASIVOS,True,13.6,6.72,0.63,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692307/imagens_otimizadas_marketplace/img_temp.jpg"
17049,LAPIS CARPINTEIRO CX72PC IRWIN,133.75,024721028150,024721028150,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2020-10-06 05:43:00,96091000,IRWIN,0.813,https://cdn.construja.com.br/produtos/17049/17049.jpg,12.5,6.0,12.5,FERRAMENTAS MANUAIS E ACESSÓRIOS,True,188.91,41.78,13.38,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692305/imagens_otimizadas_marketplace/img_temp.jpg"
170188,"BROCA VIDEA SDS PLUS 12,0X210 IRWIN",14.646,042526940804,042526940804,CONSTRUJA DISTR. DE MATERIAIS P/ CONSTRU,2025-04-03 05:40:00,82075011,IRWIN,0.1,https://cdn.construja.com.br/produtos/170188/170188.jpg,1.5,1.5,1.5,BROCAS,True,25.14,9.03,1.46,R$ 4.00 fixo,,,,"https://res.cloudinary.com/dr0dzla6q/image/upload/f_auto,q_auto/v1764692306/imagens_otimizadas_marketplace/img_temp.jpg"
