arquivo,url_cloudinary
1929_1_TUBO_ESG._PRIM._150MM_-_MULTILIT_MULTILI.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951104/imagens_otimizadas_marketplace/1929_1_TUBO_ESG._PRIM._150MM_-_MULTILIT_MULTILI.jpg"
2607_3_COLHER_PACETTA_CANTO_RETO_2002_-_10.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951106/imagens_otimizadas_marketplace/2607_3_COLHER_PACETTA_CANTO_RETO_2002_-_10.jpg"
0805_3_COLA_MADEIRA___90GR_PULVITEC.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951106/imagens_otimizadas_marketplace/0805_3_COLA_MADEIRA___90GR_PULVITEC.jpg"
3142_3_LUVA__TRICOTADA_PIGMENTADA_BR_KALIPSO.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951107/imagens_otimizadas_marketplace/3142_3_LUVA__TRICOTADA_PIGMENTADA_BR_KALIPSO.jpg"
2778_2_DESEMP_PVC_GALO_AZUL_CORRUGADA_18X30_818.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951108/imagens_otimizadas_marketplace/2778_2_DESEMP_PVC_GALO_AZUL_CORRUGADA_18X30_818.jpg"
2662_2_OTTO_B.PRIMER_MANTA_ECO_BASE_DAGUA_1LT.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951110/imagens_otimizadas_marketplace/2662_2_OTTO_B.PRIMER_MANTA_ECO_BASE_DAGUA_1LT.jpg"
3988_3_OLEO_LUBRIF.STARRETT_S-LUB_300ML_200G.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951111/imagens_otimizadas_marketplace/3988_3_OLEO_LUBRIF.STARRETT_S-LUB_300ML_200G.jpg"
3592_2_PALHA_DE_ACO_VEGA_N.1.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951112/imagens_otimizadas_marketplace/3592_2_PALHA_DE_ACO_VEGA_N.1.jpg"
0073_2_ENGATE_PVC_50_KRONA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951113/imagens_otimizadas_marketplace/0073_2_ENGATE_PVC_50_KRONA.jpg"
3948_1_BOTA_PEGA_FORTE_PT_AM_CANO_MEDIO_N.38.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951114/imagens_otimizadas_marketplace/3948_1_BOTA_PEGA_FORTE_PT_AM_CANO_MEDIO_N.38.jpg"
2004_3_BOTA_PEGA_FORTE_PT_AM_CANO_CURTO_N.40.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951115/imagens_otimizadas_marketplace/2004_3_BOTA_PEGA_FORTE_PT_AM_CANO_CURTO_N.40.jpg"
2366_3_DENVERFITA_RL_20CM_X_10MTS_ONU__N_A.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951116/imagens_otimizadas_marketplace/2366_3_DENVERFITA_RL_20CM_X_10MTS_ONU__N_A.jpg"
3246_1_COLA_SILICONE__50G_TEKBOND_TRANSP_BISN.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951116/imagens_otimizadas_marketplace/3246_1_COLA_SILICONE__50G_TEKBOND_TRANSP_BISN.jpg"
3149_2_COLETE_REFLETIVO_KALIPSO_AMARELO_XG.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951117/imagens_otimizadas_marketplace/3149_2_COLETE_REFLETIVO_KALIPSO_AMARELO_XG.jpg"
2750_2_GARFO_P_ROLO_23CM_C_BUCHA_COMPEL.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951117/imagens_otimizadas_marketplace/2750_2_GARFO_P_ROLO_23CM_C_BUCHA_COMPEL.jpg"
0000_1_FITA_DUREX_TRANSP_12X50_3M.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951118/imagens_otimizadas_marketplace/0000_1_FITA_DUREX_TRANSP_12X50_3M.jpg"
2005_2_BOTA_PEGA_FORTE_PT_AM_CANO_CURTO_N.41.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951119/imagens_otimizadas_marketplace/2005_2_BOTA_PEGA_FORTE_PT_AM_CANO_CURTO_N.41.jpg"
2363_1_DENVERLAJE_PRETO_-_18KG_ONU__NA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951120/imagens_otimizadas_marketplace/2363_1_DENVERLAJE_PRETO_-_18KG_ONU__NA.jpg"
3645_1_DISCO_DIAM._TURBO_110X20MM_-_MELFI_MELFI.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951121/imagens_otimizadas_marketplace/3645_1_DISCO_DIAM._TURBO_110X20MM_-_MELFI_MELFI.jpg"
1803_3_VALV_AMERICANA_METAL_CR_31_2_FERJA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951122/imagens_otimizadas_marketplace/1803_3_VALV_AMERICANA_METAL_CR_31_2_FERJA.jpg"
"2228_1_PARAF_A_A_CHATA_PHS_4,8_X_16_JOMARCA.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951123/imagens_otimizadas_marketplace/2228_1_PARAF_A_A_CHATA_PHS_4_8_X_16_JOMARCA.jpg"
2685_3_SENSOR_PRES.EXATRON_C_SOQ.E-27_XC_BIV.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951124/imagens_otimizadas_marketplace/2685_3_SENSOR_PRES.EXATRON_C_SOQ.E-27_XC_BIV.jpg"
1866_1_SELANTE_PU40_BRANCO_360G__WATERPROOF.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951125/imagens_otimizadas_marketplace/1866_1_SELANTE_PU40_BRANCO_360G__WATERPROOF.jpg"
2508_1_BROXA_ATLAS_RETANGULAR_MEDIA_800-1.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951125/imagens_otimizadas_marketplace/2508_1_BROXA_ATLAS_RETANGULAR_MEDIA_800-1.jpg"
1180_1_ARMARIO_BANH_BR_REVERS_2650_HERC.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951126/imagens_otimizadas_marketplace/1180_1_ARMARIO_BANH_BR_REVERS_2650_HERC.jpg"
1827_2_LAMP_LED_ALTA_POT_50W-4000LM_6500K_GALAX.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951127/imagens_otimizadas_marketplace/1827_2_LAMP_LED_ALTA_POT_50W-4000LM_6500K_GALAX.jpg"
3779_3_CONEC_FERTAK_PORCELANA_10MM_TRIF_8204.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951128/imagens_otimizadas_marketplace/3779_3_CONEC_FERTAK_PORCELANA_10MM_TRIF_8204.jpg"
2046_3_CADEADO_PADO_35.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951129/imagens_otimizadas_marketplace/2046_3_CADEADO_PADO_35.jpg"
2670_3_COLA_BRANCA_PVA_EXTRA_500GR_OTTO.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951130/imagens_otimizadas_marketplace/2670_3_COLA_BRANCA_PVA_EXTRA_500GR_OTTO.jpg"
1980_1_CINTO_SEGUR.PARAQUED.C_2PONTO_G_DELTA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951131/imagens_otimizadas_marketplace/1980_1_CINTO_SEGUR.PARAQUED.C_2PONTO_G_DELTA.jpg"
3811_3_PORCA_TORNEADA_NEW_FIX_ZINC_F_3_8_(NC).jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951131/imagens_otimizadas_marketplace/3811_3_PORCA_TORNEADA_NEW_FIX_ZINC_F_3_8__NC.jpg"
2652_1_MANG_CHUVEIRO_BRANCA_50_MT_IBIRA_402.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951133/imagens_otimizadas_marketplace/2652_1_MANG_CHUVEIRO_BRANCA_50_MT_IBIRA_402.jpg"
"2654_2_MANG_MAQ.DE_LAVAR_ENTRADA_1,20MT_IBIRA.jpg","https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951133/imagens_otimizadas_marketplace/2654_2_MANG_MAQ.DE_LAVAR_ENTRADA_1_20MT_IBIRA.jpg"
3325_2_FITA_TELADA_WALTAPE_48X45_WALSYWA.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951135/imagens_otimizadas_marketplace/3325_2_FITA_TELADA_WALTAPE_48X45_WALSYWA.jpg"
1373_3_FIXA_FIO_MIGUELAO_DUPLO_C_100PC_SFOR.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951135/imagens_otimizadas_marketplace/1373_3_FIXA_FIO_MIGUELAO_DUPLO_C_100PC_SFOR.jpg"
3074_2_SIST_X_RADIAL_2INT_SIMP_C_CX_1902003_BR.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951137/imagens_otimizadas_marketplace/3074_2_SIST_X_RADIAL_2INT_SIMP_C_CX_1902003_BR.jpg"
3627_2_LUMI_TARTARUGA_FERRO_VIDRO_BR_JR_ILUM.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951138/imagens_otimizadas_marketplace/3627_2_LUMI_TARTARUGA_FERRO_VIDRO_BR_JR_ILUM.jpg"
1652_1_PARAF_FRANCES_[13]_1_4X11_2_NEW-FIX.jpg,"https://res.cloudinary.com/dbpq32fiq/image/upload/f_auto,q_auto/v1762951139/imagens_otimizadas_marketplace/1652_1_PARAF_FRANCES__13__1_4X11_2_NEW-FIX.jpg"
